,Date,pv_power,wind_power,h,cos_h,sin_h
0,1/31/2022 0:00,0,2041.07,19,0.460065038,-0.887885218
1,1/31/2022 1:00,0,1878.859,20,0.682553143,-0.730835964
2,1/31/2022 2:00,0,1653.233,21,0.854419405,-0.51958395
3,1/31/2022 3:00,0,1383.232,22,0.962917287,-0.269796771
4,1/31/2022 4:00,0,1223.554,23,1,-2.45E-16
5,1/31/2022 5:00,0,1165.1,0,1,0
6,1/31/2022 6:00,0,1215.153,1,0.962917287,0.269796771
7,1/31/2022 7:00,0,1069.416,2,0.854419405,0.51958395
8,1/31/2022 8:00,0,1260.269,3,0.682553143,0.730835964
9,1/31/2022 9:00,0,1441.004,4,0.460065038,0.887885218
10,1/31/2022 10:00,0,1523.669,5,0.203456013,0.979084088
11,1/31/2022 11:00,0.002,1461.356,6,-0.068242413,0.997668769
12,1/31/2022 12:00,0.045,1396.829,7,-0.334879612,0.942260922
13,1/31/2022 13:00,0.109,1463.362,8,-0.576680322,0.816969893
14,1/31/2022 14:00,0.204,1508.741,9,-0.775711291,0.631087944
15,1/31/2022 15:00,0.24,1442.031,10,-0.917211302,0.39840109
16,1/31/2022 16:00,0.239,1321.826,11,-0.990685946,0.136166649
17,1/31/2022 17:00,0.228,1263.44,12,-0.990685946,-0.136166649
18,1/31/2022 18:00,0.28,797.799,13,-0.917211302,-0.39840109
19,1/31/2022 19:00,0.257,426.309,14,-0.775711291,-0.631087944
20,1/31/2022 20:00,0.172,361.241,15,-0.576680322,-0.816969893
21,1/31/2022 21:00,0.088,347.983,16,-0.334879612,-0.942260922
22,1/31/2022 22:00,0.04,324.121,17,-0.068242413,-0.997668769
23,1/31/2022 23:00,0,304.13,18,0.203456013,-0.979084088
